1	7
2	17
3	31
4	49
5	71
6	97
7	127
8	161
9	199
10	241
11	287
12	337
1	7
2	33
3	109
4	297
5	725
6	1655
7	3613
8	7649
9	15843
10	32299
11	65089
12	130061
1	5
2	19
3	47
4	113
5	239
6	517
7	1048
8	2171
9	4322
10	8737
11	17213
12	34277
1	5
2	15
3	39
4	54
5	118
6	130
7	319
8	277
9	913
10	584
11	2908
12	1284
