1	0.008	0.008	0.008	0.012	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.006	0.007	0.01	0.009	0.01	0.01	0.01	0.01	0.009	0.058	0.013	0.011	0.009	0.009	0.009	0.009	0.008	0.009	0.009
2	0.025	0.025	0.025	0.026	0.028	0.026	0.027	0.025	0.026	0.026	0.025	0.025	0.026	0.025	0.025	0.026	0.026	0.026	0.024	0.026	0.026	0.026	0.027	0.025	0.026	0.026	0.025	0.026	0.025	0.026	0.025
3	0.052	0.035	0.067	0.035	0.035	0.034	0.035	0.033	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.033	0.034	0.034	0.034	0.034	0.034	0.033	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.034	0.034
4	0.089	0.089	0.088	0.089	0.088	0.089	0.089	0.089	0.089	0.089	0.088	0.088	0.126	0.074	0.074	0.073	0.074	0.074	0.077	0.08	0.08	0.071	0.071	0.07	0.07	0.07	0.07	0.069	0.075	0.082	0.084
5	0.2	0.193	0.224	0.171	0.174	0.163	0.202	0.211	0.23	0.19	0.245	0.234	0.228	0.225	0.224	0.226	0.226	0.226	0.228	0.213	0.223	0.22	0.164	0.162	0.164	0.163	0.163	0.163	0.162	0.201	0.163
6	0.395	0.396	0.398	0.403	0.43	0.448	0.414	0.449	0.512	0.477	0.455	0.399	0.397	0.416	0.524	0.437	0.426	0.397	0.396	0.392	0.391	0.393	0.424	0.392	0.392	0.398	0.418	0.395	0.394	0.391	0.392
7	0.913	0.927	0.903	0.896	0.896	0.958	0.916	0.901	1.07	0.947	0.901	0.883	0.933	0.937	0.901	0.895	0.897	1.02	0.933	0.894	0.901	0.901	1.012	0.922	0.897	0.898	0.939	0.913	0.899	0.902	1.016
8	2.123	2.166	2.116	2.05	2.454	2.317	2.572	2.111	2.077	2.105	2.517	2.615	2.699	2.587	2.294	2.122	2.648	2.092	2.513	2.229	2.07	2.353	2.098	2.084	2.84	2.458	2.431	2.461	2.4	2.194	2.108
9	6.098	5.768	5.676	5.582	4.587	4.642	4.979	4.526	4.595	4.791	4.614	4.513	5.076	4.602	5.438	4.645	4.664	4.652	4.583	4.703	4.619	4.522	4.818	4.827	4.459	4.581	4.673	4.699	4.692	4.678	5.803
10	10.221	10.128	10.141	10.136	10.176	9.952	10.079	10.043	10.378	10.519	10.885	10.159	10.025	10.269	10.346	9.928	10.103	10.051	10.246	10.205	10.283	10.38	10.397	10.162	10.216	10.074	10.606	10.361	10.093	10.374	10.974
11	21.046	21.145	21.207	21.426	21.14	21.165	21.205	21.137	21.173	21.119	21.257	21.159	21.208	21.178	21.167	21.08	21.203	21.162	21.199	21.461	21.505	21.276	21.121	21.495	21.517	21.126	21.194	21.559	21.504	21.388	21.306
12	46.12	45.747	45.896	45.842	45.626	46.513	46.276	45.718	46.211	45.718	46.733	45.576	45.791	45.304	46.374	45.424	45.649	45.38	45.547	46.307	45.439	45.567	45.616	46.289	45.895	46.194	47.848	46.47	45.528	45.615	45.79
