1	0.011	0.011	0.011	0.011	0.011	0.011	0.012	0.011	0.011	0.011	0.011	0.012	0.012	0.012	0.011	0.01	0.01	0.012	0.011	0.011	0.01	0.01	0.011	0.011	0.012	0.011	0.012	0.01	0.011	0.011	0.01
2	0.018	0.02	0.019	0.021	0.026	0.017	0.018	0.015	0.015	0.015	0.015	0.016	0.014	0.015	0.015	0.015	0.015	0.014	0.014	0.016	0.014	0.014	0.015	0.014	0.015	0.015	0.014	0.016	0.014	0.014	0.015
3	0.034	0.033	0.034	0.035	0.035	0.034	0.031	0.031	0.031	0.031	0.027	0.028	0.027	0.029	0.032	0.033	0.035	0.035	0.034	0.034	0.035	0.035	0.036	0.036	0.036	0.035	0.035	0.034	0.035	0.034	0.033
4	0.089	0.092	0.093	0.093	0.094	0.098	0.096	0.096	0.093	0.092	0.094	0.09	0.093	0.091	0.087	0.094	0.093	0.096	0.096	0.098	0.093	0.096	0.09	0.097	0.093	0.092	0.097	0.095	0.084	0.083	0.081
5	0.165	0.18	0.172	0.155	0.147	0.157	0.185	0.165	0.172	0.167	0.169	0.181	0.168	0.175	0.17	0.178	0.173	0.168	0.174	0.17	0.169	0.205	0.174	0.188	0.205	0.169	0.166	0.169	0.171	0.171	0.175
6	0.44	0.435	0.432	0.436	0.474	0.439	0.437	0.439	0.438	0.433	0.441	0.442	0.417	0.43	0.436	0.414	0.436	0.453	0.437	0.466	0.442	0.443	0.441	0.445	0.443	0.442	0.435	0.44	0.43	0.44	0.442
7	1	1	0.972	1.005	1.03	0.999	0.991	0.873	1	0.977	0.993	0.962	0.967	1.115	1.058	1.05	1.002	1.003	1.026	1.018	0.994	1.021	1.093	1.052	1.013	0.974	1.101	1.041	0.995	0.905	1.084
8	2.36	2.592	2.459	2.388	2.526	2.393	2.48	2.544	2.513	2.493	2.205	1.964	1.78	2.561	2.445	2.531	2.455	2.51	2.522	2.471	2.42	1.732	2.179	2.024	2.075	2.431	2.534	2.471	2.524	2.48	2.471
9	4.385	5.114	4.694	4.804	4.01	3.913	4.002	3.942	3.78	3.816	3.899	4.048	3.946	3.848	3.843	3.851	3.839	3.933	3.813	4.075	3.992	3.968	3.969	4.084	3.952	3.942	3.957	4.055	3.948	4.041	3.988
10	9.232	8.655	8.698	9.575	8.921	8.703	8.72	8.632	8.651	8.828	8.74	8.577	8.59	8.94	8.827	8.997	8.761	8.594	8.606	8.611	8.631	8.784	8.786	8.844	8.793	8.716	8.839	8.759	8.616	8.606	8.633
11	18.618	18.608	18.546	18.575	18.626	18.617	18.598	18.597	18.99	18.916	19.098	18.794	18.837	18.879	18.951	18.969	18.811	18.86	18.939	18.864	18.878	18.948	18.79	18.579	18.975	18.649	18.756	18.67	18.706	18.742	18.722
12	41.327	41.506	41.377	41.386	41.46	41.326	41.459	41.394	41.401	41.499	41.301	41.533	43.436	42.713	42.538	41.856	41.425	41.065	41.274	41.196	41.163	41.252	41.284	41.445	41.234	41.275	41.504	41.697	41.518	41.087	41.373
